Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zwrot,Beta
2005-01-03,7.6302,7.6725,7.5876,7.6725,8145,,
2005-01-04,7.6725,7.6725,7.6302,7.6302,4845,-0.005513196480938398,
2005-01-05,7.5876,7.5876,7.3493,7.3918,3579,-0.03124426620534193,
2005-01-06,7.3918,7.4346,7.3918,7.3918,12006,0.0,
2005-01-07,7.3918,7.5535,7.3918,7.3918,4235,0.0,
2005-01-10,7.3918,7.3918,7.3493,7.3493,946,-0.00574961443762001,
2005-01-11,7.3493,7.3493,7.2303,7.2303,121218,-0.01619201828745609,
2005-01-12,7.1878,7.2728,7.1878,7.2728,4475,0.005878041021811109,
2005-01-13,7.1452,7.3493,7.1452,7.3493,7978,0.010518644813551914,
2005-01-14,7.2303,7.3918,7.2303,7.3918,5778,0.00578286367409131,
2005-01-17,7.2303,7.3918,7.2303,7.3918,9203,0.0,
2005-01-18,7.3493,7.4346,7.2303,7.4346,22181,0.005790199951297259,
2005-01-19,7.3918,7.4346,7.3918,7.4346,7811,0.0,
2005-01-20,7.2303,7.4686,7.2303,7.4686,2074,0.004573211739703709,
2005-01-21,7.2728,7.2728,7.1452,7.1452,871,-0.04330128805934186,
2005-01-24,7.2303,7.2303,7.1452,7.2303,2182,0.011910093489335472,
2005-01-25,7.1878,7.1878,7.1878,7.1878,1267,-0.005878041021810887,
2005-01-26,7.3068,7.4346,7.1878,7.3068,2811,0.016555830713152808,
2005-01-27,7.1878,7.3068,7.1878,7.3068,6063,0.0,
2005-01-28,7.1878,7.4686,7.1878,7.3918,14448,0.011632999397821253,
2005-01-31,7.3918,7.3918,7.2303,7.3918,14888,0.0,
2005-02-01,7.2303,7.5535,7.2303,7.5535,11448,0.02187559187207433,
2005-02-02,7.4686,7.5535,7.4686,7.5535,59844,0.0,
2005-02-03,7.3493,7.5535,7.3493,7.5535,7017,0.0,
2005-02-04,7.5535,7.5535,7.3493,7.5535,4095,0.0,
2005-02-07,7.3493,7.6302,7.3493,7.6302,17669,0.010154233136956403,
2005-02-08,7.6302,7.6302,7.4346,7.6302,3468,0.0,
2005-02-09,7.4346,7.6302,7.4346,7.6302,7881,0.0,
2005-02-10,7.4346,7.6302,7.4346,7.6302,62182,0.0,
2005-02-11,7.6302,7.7151,7.6302,7.7151,21287,0.01112683809074455,
2005-02-14,7.6725,7.6725,7.5111,7.6302,2104,-0.011004393980635241,
2005-02-15,7.5876,7.5876,7.5111,7.5876,6926,-0.005583077769914291,
2005-02-16,7.4346,7.6725,7.4346,7.6725,5663,0.011189308872370685,
2005-02-17,7.6302,7.7491,7.6302,7.7491,55436,0.009983708048224127,
2005-02-18,7.6725,7.7491,7.6302,7.7491,270761,0.0,
2005-02-21,7.7491,7.7491,7.4346,7.6302,307615,-0.015343717334916351,
2005-02-22,7.7151,7.9534,7.6302,7.8682,221772,0.03119184293989674,
2005-02-23,7.8343,8.3532,7.8343,8.3532,246669,0.06164052769375461,
2005-02-24,8.4383,8.4383,8.1914,8.3532,34435,0.0,
2005-02-25,8.234,8.8379,8.234,8.8379,230188,0.05802566681032428,
2005-02-28,8.7954,8.7954,8.4383,8.6763,300282,-0.018284886681225188,
2005-03-01,8.7187,8.9996,8.5571,8.8379,138667,0.018625450941069266,
2005-03-02,8.7187,8.7954,8.5571,8.6763,132463,-0.018284886681225188,
2005-03-03,8.6763,8.8379,8.6763,8.7954,30048,0.013727049548770909,
