Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,10.2721,10.4349,10.2038,10.2721,1351049.1594928
2005-01-04,10.2355,10.2721,10.0727,10.1075,2908544.8661964
2005-01-05,9.71454,9.71454,9.48536,9.58551,6020220.5323085
2005-01-06,9.48536,9.48536,9.15794,9.32069,3856970.0903659
2005-01-07,9.32069,9.58551,9.12607,9.45358,2093733.9774352
2005-01-10,9.55181,9.55181,9.02852,9.22343,2114824.7471071
2005-01-11,9.25906,9.35632,9.15794,9.15794,2003520.31301
2005-01-12,9.22343,9.32069,9.15794,9.28891,1984523.0436659
2005-01-13,9.45358,9.5181,9.4218,9.48536,3102868.634227
2005-01-14,9.45358,9.48536,9.25906,9.38714,1312719.2038375
2005-01-17,9.45358,9.45358,9.32069,9.38714,842370.1175314
2005-01-18,9.35632,9.48536,9.19165,9.25906,1803532.8789139
2005-01-19,9.28891,9.28891,9.09555,9.09555,1799567.0665369
2005-01-20,9.02852,9.12607,8.83044,9.12607,2130790.8024348
2005-01-21,9.15794,9.25906,9.09555,9.22343,991764.62703789
2005-01-24,9.09555,9.32069,9.09555,9.32069,1125175.4276921
2005-01-25,9.38714,9.55181,9.38714,9.48536,3874757.5740543
2005-01-26,9.5181,9.5181,9.32069,9.35632,1976947.6047316
2005-01-27,9.38714,9.48536,9.28891,9.4218,2187091.00768
2005-01-28,9.45358,9.45358,8.9927,9.02852,4916001.9151899
2005-01-31,9.15794,9.15794,9.02852,9.02852,2010506.9549771
2005-02-01,9.05982,9.25906,9.02852,9.22343,3728097.283974
2005-02-02,9.22343,9.35632,9.09555,9.12607,5086600.3846142
2005-02-03,9.15794,9.35632,9.15794,9.28891,3634465.066434
2005-02-04,9.28891,9.35632,9.22343,9.28891,2696908.1827562
2005-02-07,9.35632,9.38714,9.22343,9.38714,2487493.7665291
2005-02-08,9.45358,9.48536,9.35632,9.35632,2414733.2072676
2005-02-09,9.4218,9.4218,9.32069,9.35632,2185223.887844
2005-02-10,9.38714,9.64617,9.32069,9.58551,3254959.9792252
2005-02-11,9.64617,9.68374,9.4218,9.55181,1335062.3353127
2005-02-14,9.58551,9.61633,9.45358,9.48536,2019865.399895
2005-02-15,9.4218,9.68374,9.35632,9.64617,4285642.320443
2005-02-16,9.71454,10.1739,9.64617,10.041,6276809.3200105
2005-02-17,10.2038,10.5639,10.2038,10.4349,8643804.281459
2005-02-18,10.5013,10.7921,10.3993,10.5639,9693965.7293979
2005-02-21,10.5976,10.8595,10.5976,10.665,3008271.7034903
2005-02-22,10.7276,10.7276,10.4657,10.4657,3585608.41791
2005-02-23,10.3993,10.4349,10.2355,10.3993,1699451.851702
2005-02-24,10.4657,10.5976,10.4349,10.5639,1761680.5258816
2005-02-25,10.7276,10.8903,10.665,10.7633,7862472.7828613
2005-02-28,10.8595,10.8903,10.6304,10.7921,4408768.3853597
2005-03-01,10.6304,10.665,10.4349,10.5976,4648278.9456848
2005-03-02,10.4657,10.5013,10.0101,10.1402,3134222.3323414
2005-03-03,10.0727,10.2355,10.0101,10.1739,2329240.3030063
2005-03-04,10.2038,10.3029,10.1075,10.2038,1381543.0271154
2005-03-07,10.3029,10.3376,10.0101,10.0727,1339220.2595749
2005-03-08,10.0727,10.1739,9.97355,10.0101,1388627.2826891
2005-03-09,10.1402,10.5013,10.1402,10.3029,4518504.7710961
2005-03-10,10.3029,10.3993,10.0727,10.2355,1365586.3177713
