Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zwrot,Rolling Beta
2005-01-03,10.2721,10.4349,10.2038,10.2721,1351049.1594928,,
2005-01-04,10.2355,10.2721,10.0727,10.1075,2908544.8661964,-0.01602398730541954,
2005-01-05,9.71454,9.71454,9.48536,9.58551,6020220.5323085,-0.05164382883997043,
2005-01-06,9.48536,9.48536,9.15794,9.32069,3856970.0903659,-0.027627116345400382,
2005-01-07,9.32069,9.58551,9.12607,9.45358,2093733.9774352,0.01425752814437553,
2005-01-10,9.55181,9.55181,9.02852,9.22343,2114824.7471071,-0.02434527448860646,
2005-01-11,9.25906,9.35632,9.15794,9.15794,2003520.31301,-0.007100395406047455,
2005-01-12,9.22343,9.32069,9.15794,9.28891,1984523.0436659,0.014301251154735573,
2005-01-13,9.45358,9.5181,9.4218,9.48536,3102868.634227,0.021148875379350285,
2005-01-14,9.45358,9.48536,9.25906,9.38714,1312719.2038375,-0.01035490482174628,
2005-01-17,9.45358,9.45358,9.32069,9.38714,842370.1175314,0.0,
2005-01-18,9.35632,9.48536,9.19165,9.25906,1803532.8789139,-0.013644198339430424,
2005-01-19,9.28891,9.28891,9.09555,9.09555,1799567.0665369,-0.01765946003157992,
2005-01-20,9.02852,9.12607,8.83044,9.12607,2130790.8024348,0.0033554870238743373,
2005-01-21,9.15794,9.25906,9.09555,9.22343,991764.62703789,0.010668338068851035,
2005-01-24,9.09555,9.32069,9.09555,9.32069,1125175.4276921,0.010544884061569393,
2005-01-25,9.38714,9.55181,9.38714,9.48536,3874757.5740543,0.017667146960149926,
2005-01-26,9.5181,9.5181,9.32069,9.35632,1976947.6047316,-0.013604122563613763,
2005-01-27,9.38714,9.48536,9.28891,9.4218,2187091.00768,0.0069984780340988095,
2005-01-28,9.45358,9.45358,8.9927,9.02852,4916001.9151899,-0.04174149313294684,
2005-01-31,9.15794,9.15794,9.02852,9.02852,2010506.9549771,0.0,
2005-02-01,9.05982,9.25906,9.02852,9.22343,3728097.283974,0.021588255882470264,
2005-02-02,9.22343,9.35632,9.09555,9.12607,5086600.3846142,-0.010555726015159195,
2005-02-03,9.15794,9.35632,9.15794,9.28891,3634465.066434,0.01784338713159106,
2005-02-04,9.28891,9.35632,9.22343,9.28891,2696908.1827562,0.0,
2005-02-07,9.35632,9.38714,9.22343,9.38714,2487493.7665291,0.010574975965963906,
2005-02-08,9.45358,9.48536,9.35632,9.35632,2414733.2072676,-0.003283215121964722,
2005-02-09,9.4218,9.4218,9.32069,9.35632,2185223.887844,0.0,
2005-02-10,9.38714,9.64617,9.32069,9.58551,3254959.9792252,0.02449574191562487,
2005-02-11,9.64617,9.68374,9.4218,9.55181,1335062.3353127,-0.0035157232113888215,
2005-02-14,9.58551,9.61633,9.45358,9.48536,2019865.399895,-0.006956796669950527,1.1622496773215216
2005-02-15,9.4218,9.68374,9.35632,9.64617,4285642.320443,0.01695349464859519,1.1640194432756814
2005-02-16,9.71454,10.1739,9.64617,10.041,6276809.3200105,0.04093127116772788,1.1764703855698218
2005-02-17,10.2038,10.5639,10.2038,10.4349,8643804.281459,0.03922916044218705,1.0754183360312566
2005-02-18,10.5013,10.7921,10.3993,10.5639,9693965.7293979,0.012362360923439564,1.1010009917621637
2005-02-21,10.5976,10.8595,10.5976,10.665,3008271.7034903,0.009570329139806155,1.087678507223602
2005-02-22,10.7276,10.7276,10.4657,10.4657,3585608.41791,-0.018687294889826456,0.9744676772235497
2005-02-23,10.3993,10.4349,10.2355,10.3993,1699451.851702,-0.006344535004825236,1.019251544002045
2005-02-24,10.4657,10.5976,10.4349,10.5639,1761680.5258816,0.0158279884222976,1.0246145299553875
2005-02-25,10.7276,10.8903,10.665,10.7633,7862472.7828613,0.018875604653584288,1.0417458145265515
2005-02-28,10.8595,10.8903,10.6304,10.7921,4408768.3853597,0.002675759293153668,1.0107034250206028
2005-03-01,10.6304,10.665,10.4349,10.5976,4648278.9456848,-0.0180224423420835,0.9379177838199777
2005-03-02,10.4657,10.5013,10.0101,10.1402,3134222.3323414,-0.043160715633728364,1.1053507029623064
2005-03-03,10.0727,10.2355,10.0101,10.1739,2329240.3030063,0.003323405849983141,1.1368448443106705
2005-03-04,10.2038,10.3029,10.1075,10.2038,1381543.0271154,0.0029388926566999984,1.1419358404095998
2005-03-07,10.3029,10.3376,10.0101,10.0727,1339220.2595749,-0.012848154609067186,1.1545730614433256
2005-03-08,10.0727,10.1739,9.97355,10.0101,1388627.2826891,-0.006214818271168543,1.1595599574625444
2005-03-09,10.1402,10.5013,10.1402,10.3029,4518504.7710961,0.02925045703839113,1.142691198884461
2005-03-10,10.3029,10.3993,10.0727,10.2355,1365586.3177713,-0.006541847441011717,1.1868660803236295
2005-03-11,10.3029,10.3029,10.1402,10.1402,4139214.6415103,-0.0093107322553857,1.1512104436219666
2005-03-14,10.1075,10.1075,9.81181,9.87729,1527054.7996548,-0.02592749649908288,1.1308126946166526
2005-03-15,9.94469,10.1075,9.84647,10.041,1787566.8235862,0.016574384269369524,1.1825535402077663
2005-03-16,9.84647,10.0727,9.74826,10.041,5038405.224041,0.0,1.1704621672746285
2005-03-17,10.0101,10.0727,9.91003,9.97355,1864820.7240771,-0.006717458420476108,1.0299451823597807
2005-03-18,10.041,10.2721,10.041,10.1739,1775828.2681765,0.020088133112081463,1.0265565461710622
2005-03-21,10.2721,10.3684,9.91003,9.97355,1966334.7211252,-0.019692546614376027,1.0772064770418819
2005-03-22,9.94469,10.0727,9.84647,10.0727,1487928.3585077,0.009941294724546301,1.1117184061674148
2005-03-23,10.0101,10.041,9.81181,9.91003,1268030.864002,-0.016149592462795348,1.0623232909847633
2005-03-24,10.0101,10.0727,9.87729,10.0101,1040547.5461357,0.010097850359686023,1.0761632716478033
2005-03-29,10.041,10.041,9.87729,10.0101,1478415.1856389,0.0,1.0583104162646484
2005-03-30,9.97355,10.041,9.87729,9.91003,1124467.2098233,-0.00999690312784074,1.0572399883002257
2005-03-31,9.97355,10.0727,9.68374,10.0727,3148324.3831609,0.01641468290206971,1.040863254711134
2005-04-01,10.1075,10.2721,9.94469,9.94469,2163597.2817787,-0.012708608416809763,1.0397283634363481
2005-04-04,9.97355,10.0727,9.84647,9.87729,938706.43966145,-0.006777486276595801,0.975707662251362
2005-04-05,9.87729,10.0101,9.87729,9.97355,1275819.183674,0.009745588111718773,0.9058667423703868
2005-04-06,9.97355,10.3029,9.97355,10.3029,2414972.0490709,0.03302234410014493,0.9100051186527348
2005-04-07,10.3684,10.5331,10.3376,10.4349,2104106.9807957,0.012811926739073609,0.9720844579748952
2005-04-11,10.3376,10.6958,10.2355,10.665,2621770.6283308,0.02205100192622811,0.9019012504790058
2005-04-12,10.6304,10.6958,10.5013,10.5639,1202784.4755601,-0.009479606188466883,0.9102279443070871
2005-04-13,10.6304,10.665,10.1402,10.1402,1828445.1174382,-0.040108293338634415,0.8995190216791606
2005-04-14,10.1075,10.2355,9.94469,10.1075,4088951.9416748,-0.003224788465710726,0.9145120786797886
2005-04-15,10.041,10.2355,9.94469,10.2038,1029055.1016276,0.009527578530794,0.936282900711788
2005-04-18,10.0101,10.041,9.71454,9.87729,3806927.5403665,-0.031998863168623326,0.9222684177119671
2005-04-19,9.91003,10.1075,9.87729,10.0727,944866.48130072,0.01978376659994785,0.8850809388424941
2005-04-20,10.1075,10.1739,9.94469,9.94469,1125268.8875282,-0.012708608416809763,0.9054010371765548
2005-04-21,9.94469,10.2038,9.94469,10.2038,2941107.3115239,0.02605511081793388,0.9585134233134454
2005-04-22,10.1739,10.2355,10.1075,10.1402,1046726.2797422,-0.006232972030027928,1.047579185962066
2005-04-25,10.1402,10.1739,10.041,10.0727,1843428.8060446,-0.006656673438393823,1.0049602959052613
2005-04-26,10.0727,10.1075,10.041,10.1075,695681.78950028,0.003454883000585829,0.9453744968457047
2005-04-27,10.0727,10.1075,9.74826,9.84647,1973869.6607972,-0.0258253771951521,0.9284813092812244
2005-04-28,9.81181,9.84647,9.64617,9.68374,946184.26498923,-0.016526734961869516,0.9913359939548266
2005-04-29,9.71454,9.78003,9.68374,9.78003,487559.19589609,0.009943472253488794,0.9677174593791014
2005-05-02,9.81181,9.84647,9.74826,9.74826,434733.61966718,-0.003248456293078794,0.9620879861771464
2005-05-04,9.81181,10.041,9.78003,9.97355,1931266.5137485,0.023110791053993163,1.1309329953812228
2005-05-05,10.0727,10.2038,10.0101,10.1075,836808.21884293,0.013430523735279865,1.1444030382856778
2005-05-06,10.3376,10.3376,10.0727,10.2355,1256867.6058054,0.01266386346772208,1.1273908802113206
2005-05-09,10.2721,10.2721,9.97355,10.041,751505.34958161,-0.019002491329197402,1.1332851305337706
2005-05-10,10.1402,10.1739,9.87729,9.97355,674021.95327102,-0.006717458420476108,1.291394085016795
2005-05-11,9.84647,10.0727,9.84647,10.041,2374870.5103008,0.006762887838332565,1.2006129289156684
2005-05-12,10.041,10.1075,9.87729,9.87729,1716035.7803903,-0.016304152972811514,1.1953580133748345
2005-05-13,9.78003,9.78003,9.38714,9.5181,3143030.4026691,-0.036365237833454356,1.1145731053524306
2005-05-16,9.48536,9.48536,9.22343,9.35632,633355.5017141,-0.016997089755308337,1.2624845365502093
2005-05-17,9.45358,9.45358,9.05982,9.19165,2147914.721287,-0.017599868324298495,1.2390103420257
2005-05-18,9.25906,9.32069,9.05982,9.28891,2502318.5734141,0.010581342849216524,1.1687485848132773
2005-05-19,9.45358,9.48536,9.32069,9.48536,3633144.1674177,0.021148875379350285,1.0512390496967512
2005-05-20,9.45358,9.61633,9.32069,9.35632,1679408.8706366,-0.013604122563613763,1.0838566609371743
2005-05-23,9.38714,9.48536,9.32069,9.35632,708243.82990997,0.0,0.9373194583057761
2005-05-24,9.35632,9.38714,9.19165,9.35632,783846.60663042,0.0,1.0451584611507527
2005-05-25,9.35632,9.48536,9.35632,9.45358,830293.02982662,0.01039511260837589,1.0018541456337318
2005-05-27,9.5181,9.61633,9.48536,9.61633,1005357.8409722,0.017215700295549308,1.0183780856985418
2005-05-30,9.61633,9.68374,9.58551,9.58551,682438.53072994,-0.0032049648878522685,0.977104605390363
2005-05-31,9.5181,9.61633,9.38714,9.61633,1630121.2684241,0.0032152697143918996,0.9977914928347714
2005-06-01,9.5181,9.61633,9.48536,9.58551,1093194.5102335,-0.0032049648878522685,1.0329240332560312
2005-06-02,9.58551,10.0727,9.58551,10.0727,4809242.7444535,0.05082567333402177,0.9174439071314211
2005-06-03,10.2038,10.3376,10.1739,10.2355,2732744.8376738,0.01616249863492425,1.117298999334252
2005-06-06,10.3029,10.4349,10.2721,10.3684,1732371.5212918,0.012984221581749722,1.13027754361773
2005-06-07,10.4349,10.665,10.3684,10.5639,3086687.6212763,0.01885536823425027,1.059533312124998
2005-06-08,10.5013,10.5976,10.3376,10.3993,2813646.7870991,-0.015581366730090251,1.1118955387323295
2005-06-09,10.4349,10.5976,10.3029,10.5639,4507594.8928995,0.0158279884222976,1.1307420079381325
2005-06-10,10.5639,10.6958,10.5331,10.5976,2984688.6715234,0.0031901097132687184,1.2173608726843013
2005-06-13,10.5331,10.665,10.5331,10.6304,770263.77712238,0.0030950403865026566,1.182962041107668
2005-06-14,10.6304,10.6304,10.3993,10.4657,1880849.0859622,-0.015493302227573724,1.1493511618068937
2005-06-15,10.4657,10.7276,10.3993,10.6958,2541029.6375121,0.021986106997142985,1.1695512553315575
2005-06-16,10.7921,11.0223,10.6958,11.0223,5217084.853957,0.03052600086015067,1.1896398430121258
2005-06-17,11.0907,11.3815,10.9578,11.2842,4167352.2828214,0.023760921041887872,1.1693861909407615
2005-06-20,11.3507,11.5789,11.3507,11.4479,2736920.4154607,0.01450700980131514,1.196651716959975
2005-06-21,11.4479,11.4836,11.1196,11.1196,2147344.616287,-0.028677748757414023,1.1981513193169526
2005-06-22,11.186,11.3507,11.1562,11.2187,3782814.9026619,0.00891219108601038,1.1792468782589478
2005-06-23,11.3198,11.3198,11.0223,11.1196,4258004.1700335,-0.008833465553049868,1.2604292740917922
2005-06-24,11.0223,11.1562,10.9578,11.1196,1081079.0001516,0.0,1.2839558656766863
2005-06-27,11.0907,11.1562,11.0223,11.0531,1541451.7681792,-0.0059804309507536235,1.1953634682893444
2005-06-28,11.0907,11.186,11.0907,11.1196,1245678.3865432,0.006016411685409562,1.0396694035901524
2005-06-29,11.1562,11.1562,10.9251,10.9578,794692.1013844,-0.01455088312529218,0.9968046620640131
2005-06-30,10.9924,11.2842,10.9251,11.1196,2008846.485223,0.0147657376480681,1.0290336302621788
2005-07-01,11.1196,11.3198,11.0531,11.186,1748691.6855539,0.005971437821504333,1.1418964348826206
2005-07-04,11.2842,11.3198,11.0223,11.0907,1417364.1053937,-0.008519578043983511,1.105227274034393
2005-07-05,11.1562,11.2187,11.0907,11.1562,4008646.058315,0.005905849044695044,1.0524929239720138
2005-07-06,11.186,11.4643,11.1562,11.3988,2071461.4600584,0.021745755723274973,1.0050317618174296
2005-07-07,11.3285,11.3988,11.0136,11.1196,3518074.3403698,-0.024493806365582294,0.9978849821548295
2005-07-08,11.2216,11.3285,11.2216,11.2928,1400658.6789185,0.015576099859707204,1.0974233666362825
2005-07-11,11.3988,11.4306,11.186,11.2216,1421340.3021969,-0.006304902238594479,1.151546406782881
2005-07-12,11.2928,11.8149,11.2216,11.7783,5424102.5446104,0.049609681328865785,1.1604293406299755
2005-07-13,11.7783,11.9149,11.6059,11.8505,4546297.6494565,0.0061299168810440285,1.3101966854128826
2005-07-14,11.8851,12.0219,11.8505,11.9149,2710190.9023462,0.0054343698578118715,1.3491085860175158
2005-07-15,11.8851,11.9871,11.7783,11.8851,2127758.5499758,-0.002501070088712476,1.196859055038668
2005-07-18,11.8505,11.9871,11.8149,11.9149,624138.2849929,0.00250734112460127,1.1876111563606757
2005-07-19,11.8851,12.0922,11.8505,12.0565,3789224.1705306,0.011884279347707416,1.1772946853732127
2005-07-20,12.1595,12.6497,12.1595,12.5428,7322279.084179,0.040335088956164666,1.1671545550134006
2005-07-21,12.6497,12.7884,12.616,12.7528,5343701.1245293,0.016742673087349003,1.2144065046564931
2005-07-22,12.7162,12.8221,12.5428,12.8221,1678027.7419481,0.005434100746502635,1.1283354910143546
2005-07-25,13.032,13.2035,12.9579,13.032,4071740.7936422,0.016370173372536323,1.0875830841320664
2005-07-26,13.0657,13.1678,12.7528,12.926,1659684.6914565,-0.008133824432166925,1.1117761752206679
2005-07-27,12.9579,13.032,12.8577,12.9954,2563991.6807905,0.005369023673216677,1.0191909975626405
2005-07-28,12.9579,13.0657,12.6815,12.8943,2730713.6439033,-0.007779675885313364,0.9749032532822478
2005-07-29,12.8943,13.2391,12.8943,12.9954,3291072.8598806,0.007840673786091656,0.9566780253848565
2005-08-01,12.9579,13.3796,12.9579,13.2391,2773091.4489029,0.01875278944857417,0.9060403520133817
2005-08-02,13.4105,13.76,13.4105,13.7244,4045874.2263474,0.03665657031067049,0.9429497588514086
2005-08-03,13.6897,13.7244,13.4105,13.4105,1301012.8401491,-0.02287167380723376,1.0203566972936595
2005-08-04,13.3084,13.6541,13.1013,13.6541,1516986.0599827,0.01816487081018603,1.1481589005413313
2005-08-05,13.2035,13.5174,13.2035,13.3459,1502398.0180157,-0.02257197471821648,1.122925514298107
2005-08-08,13.3459,13.552,13.2035,13.4817,2846843.7208692,0.010175409676379976,1.2282336751818608
2005-08-09,13.4817,13.4817,13.137,13.3084,2590741.9627574,-0.012854461974380005,1.1624145131294985
2005-08-10,13.2035,13.2035,12.8577,13.0657,2337329.771039,-0.018236602446575212,1.1966608594166213
2005-08-11,13.0657,13.2728,13.0657,13.2035,939404.27310406,0.010546698607805105,1.2061668045986333
2005-08-12,13.137,13.3796,13.032,13.2728,1029033.2943325,0.005248608323550563,1.181443950672574
2005-08-16,13.4105,13.6233,13.4105,13.5876,1505008.6627698,0.02371767825929716,1.164304947416619
