Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,56.8084,58.8612,56.8084,58.2476,376792.31101227
2005-01-04,57.4235,58.0435,57.2176,57.8319,159300.77662095
2005-01-05,57.2176,57.6333,55.78,55.78,429800.89382889
2005-01-06,55.5742,56.8084,55.1601,55.1601,377216.00305965
2005-01-07,55.1601,56.1893,54.9551,55.1601,273211.9940843
2005-01-10,54.7494,55.78,54.7494,55.3692,396838.39586213
2005-01-11,55.3692,56.1893,54.5442,54.7494,327537.49107157
2005-01-12,54.7494,55.9843,54.5442,55.1601,78326.040946002
2005-01-13,55.9843,56.1893,54.9551,55.1601,324964.3671464
2005-01-14,55.1601,55.9843,55.1601,55.9843,107911.39119008
2005-01-17,56.3943,56.3943,55.5742,55.9843,153922.86089675
2005-01-18,55.5742,55.5742,53.7193,54.3352,247968.86789305
2005-01-19,53.7193,54.3352,52.4835,53.105,587396.99133523
2005-01-20,52.2793,54.5442,52.2793,53.7193,249148.26797815
2005-01-21,53.5159,53.5159,52.6925,53.3076,42504.24109225
2005-01-24,52.4835,52.8944,52.2793,52.8944,576564.35021743
2005-01-25,52.8944,53.93,52.6925,53.5159,654013.27429341
2005-01-26,53.5159,53.93,52.6925,52.8944,216294.79018733
2005-01-27,53.105,53.93,52.4835,52.6925,630863.83102635
2005-01-28,52.8944,54.1293,52.6925,54.1293,322307.00035801
2005-01-31,54.3352,55.1601,53.5159,54.9551,366945.80694042
2005-02-01,54.9551,55.9843,54.7494,55.9843,448227.78129299
2005-02-02,55.5742,55.78,55.1601,55.1601,242470.78220219
2005-02-03,55.1601,56.3943,55.1601,55.5742,313346.28521562
2005-02-04,55.78,56.3943,55.1601,56.1893,412750.38608594
2005-02-07,56.5978,57.6333,55.5742,57.6333,385468.08705847
2005-02-08,57.6333,57.6333,57.0126,57.4235,230004.07731102
2005-02-09,56.3943,57.2176,56.1893,56.3943,87368.521220342
2005-02-10,55.5742,57.6333,55.5742,57.6333,467879.90687073
2005-02-11,57.4235,57.4235,56.5978,56.5978,385558.52424987
2005-02-14,56.3943,57.6333,55.9843,56.1893,182719.05373094
